Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2013nhma,BAE Systems Granite State Regional,qm,1,1,1973,1519,1922,1512,78,95,33,67,1441,1695,1532,1473,1680,1527,48.1%,0,-1.7,-34
2013nhma,BAE Systems Granite State Regional,qm,1,2,238,2342,3585,3323,151,213,18,65,1521,1488,1435,1492,1541,1481,40.0%,0,-8.8,-47
2013nhma,BAE Systems Granite State Regional,qm,1,3,61,1831,1517,230,166,1277,56,53,1563,1476,1542,1621,1485,1443,54.8%,1,4.1,3
2013nhma,BAE Systems Granite State Regional,qm,1,4,172,58,4034,610,1058,3566,51,68,1498,1586,1449,1716,1564,1502,19.1%,0,-31.1,-17
2013nhma,BAE Systems Granite State Regional,qm,1,5,1153,1073,3609,131,1991,175,26,176,1562,1599,1468,1642,1444,1630,37.6%,0,-11.0,-150
2013nhma,BAE Systems Granite State Regional,qm,1,6,229,4546,2791,319,811,3360,61,14,1614,1450,1568,1537,1560,1547,48.3%,1,-1.5,47
2013nhma,BAE Systems Granite State Regional,qm,1,7,4124,885,138,3467,1307,1247,75,10,1469,1483,1574,1561,1468,1453,56.3%,1,5.5,65
2013nhma,BAE Systems Granite State Regional,qm,1,8,133,509,175,1729,172,1519,46,77,1507,1495,1684,1496,1504,1682,50.5%,0,0.4,-31
2013nhma,BAE Systems Granite State Regional,qm,1,9,1991,3566,95,3360,78,3585,28,41,1497,1497,1539,1529,1693,1420,34.9%,0,-13.5,-13
2013nhma,BAE Systems Granite State Regional,qm,1,10,1973,131,166,229,319,1247,56,30,1428,1696,1485,1633,1519,1430,54.0%,1,3.4,26
2013nhma,BAE Systems Granite State Regional,qm,1,11,238,61,2791,1153,4124,2342,77,52,1506,1563,1587,1508,1492,1473,74.1%,1,22.8,25
2013nhma,BAE Systems Granite State Regional,qm,1,12,1058,3467,3323,230,610,1922,25,161,1559,1538,1507,1621,1711,1519,19.4%,0,-30.8,-136
2013nhma,BAE Systems Granite State Regional,qm,1,13,133,1517,1073,4034,885,1512,38,41,1495,1542,1545,1454,1506,1486,68.6%,0,16.9,-3
2013nhma,BAE Systems Granite State Regional,qm,1,14,4546,1307,1729,3609,1277,151,3,86,1469,1445,1508,1414,1443,1555,51.3%,0,1.1,-83
2013nhma,BAE Systems Granite State Regional,qm,1,15,811,509,1831,138,58,213,20,68,1541,1483,1476,1597,1591,1496,25.7%,0,-23.0,-48
2013nhma,BAE Systems Granite State Regional,qm,1,16,166,3585,3467,4034,1073,61,14,77,1494,1420,1498,1462,1537,1564,29.5%,0,-18.8,-63
2013nhma,BAE Systems Granite State Regional,qm,1,17,610,4124,229,95,1153,238,124,18,1751,1491,1624,1539,1507,1507,85.9%,1,39.0,106
2013nhma,BAE Systems Granite State Regional,qm,1,18,133,1058,78,175,213,1277,49,78,1487,1518,1693,1672,1505,1476,56.4%,0,5.6,-29
2013nhma,BAE Systems Granite State Regional,qm,1,19,319,3609,2342,58,1512,509,23,72,1510,1446,1472,1601,1493,1473,31.0%,0,-17.3,-49
2013nhma,BAE Systems Granite State Regional,qm,1,20,811,151,1991,230,1831,1519,52,63,1531,1588,1498,1662,1466,1694,23.5%,0,-25.6,-11
2013nhma,BAE Systems Granite State Regional,qm,1,21,2791,3323,1973,1517,3566,1307,30,23,1588,1466,1437,1534,1497,1412,56.8%,1,5.9,7
2013nhma,BAE Systems Granite State Regional,qm,1,22,131,885,1247,172,4546,1922,86,62,1705,1513,1421,1516,1436,1560,67.5%,1,15.8,24
2013nhma,BAE Systems Granite State Regional,qm,1,23,1729,3360,133,138,238,151,38,44,1476,1529,1474,1607,1481,1593,23.7%,0,-25.3,-6
2013nhma,BAE Systems Granite State Regional,qm,1,24,811,3467,1277,319,509,1153,20,32,1537,1481,1489,1498,1486,1481,56.1%,0,5.3,-12
2013nhma,BAE Systems Granite State Regional,qm,1,25,610,175,1073,166,4546,1517,53,26,1777,1685,1554,1477,1433,1533,96.4%,1,71.3,27
2013nhma,BAE Systems Granite State Regional,qm,1,26,3360,172,3609,61,1519,213,22,65,1536,1513,1434,1581,1689,1519,14.7%,0,-38.0,-43
2013nhma,BAE Systems Granite State Regional,qm,1,27,78,3566,4124,1058,138,131,32,61,1679,1497,1517,1505,1600,1708,33.5%,0,-14.8,-29
2013nhma,BAE Systems Granite State Regional,qm,1,28,1922,3585,1512,1831,2791,1307,33,25,1557,1403,1506,1460,1588,1412,50.7%,1,0.6,8
2013nhma,BAE Systems Granite State Regional,qm,1,29,230,1729,4034,2342,1973,885,43,58,1656,1483,1479,1460,1437,1516,76.5%,0,25.5,-15
2013nhma,BAE Systems Granite State Regional,qm,1,30,95,1247,58,3323,1991,229,26,147,1513,1425,1613,1467,1503,1650,40.2%,0,-8.6,-121
2013nhma,BAE Systems Granite State Regional,qm,1,31,131,172,1153,1517,151,3585,100,64,1713,1511,1488,1551,1586,1406,72.6%,1,21.1,36
2013nhma,BAE Systems Granite State Regional,qm,1,32,1973,610,1512,213,509,166,72,37,1453,1760,1509,1521,1492,1494,77.5%,1,26.7,35
2013nhma,BAE Systems Granite State Regional,qm,1,33,175,58,2342,3360,3467,1922,48,54,1668,1570,1475,1534,1474,1560,69.8%,0,18.1,-6
2013nhma,BAE Systems Granite State Regional,qm,1,34,4546,3609,230,3566,133,229,88,74,1450,1432,1640,1491,1481,1693,30.5%,1,-17.7,14
2013nhma,BAE Systems Granite State Regional,qm,1,35,3323,238,1307,1073,811,1058,31,28,1510,1473,1409,1537,1530,1510,25.6%,1,-23.0,3
2013nhma,BAE Systems Granite State Regional,qm,1,36,319,61,885,1831,78,1991,54,82,1504,1583,1532,1458,1674,1547,41.6%,0,-7.3,-28
2013nhma,BAE Systems Granite State Regional,qm,1,37,1277,4034,1519,2791,1247,138,56,66,1483,1463,1691,1585,1381,1605,59.2%,0,8.0,-10
2013nhma,BAE Systems Granite State Regional,qm,1,38,95,4124,166,1729,811,2342,83,9,1470,1512,1491,1468,1520,1466,52.7%,1,2.3,74
2013nhma,BAE Systems Granite State Regional,qm,1,39,1307,1991,3585,509,229,1058,42,27,1419,1555,1400,1489,1681,1500,15.4%,1,-36.9,15
2013nhma,BAE Systems Granite State Regional,qm,1,40,238,78,4546,2791,230,172,40,77,1484,1682,1462,1592,1653,1517,31.6%,0,-16.6,-37
2013nhma,BAE Systems Granite State Regional,qm,1,41,131,1729,1517,1519,58,3467,60,76,1719,1440,1545,1684,1560,1483,46.6%,0,-2.9,-16
2013nhma,BAE Systems Granite State Regional,qm,1,42,1073,1277,1831,1973,95,3360,82,3,1527,1476,1466,1456,1498,1543,45.9%,1,-3.6,79
2013nhma,BAE Systems Granite State Regional,qm,1,43,3609,4124,61,3323,610,133,82,101,1444,1539,1575,1520,1763,1469,24.7%,0,-24.1,-19
2013nhma,BAE Systems Granite State Regional,qm,1,44,4034,138,319,1922,1153,175,51,44,1456,1612,1496,1569,1494,1659,28.9%,1,-19.5,7
2013nhma,BAE Systems Granite State Regional,qm,1,45,1512,213,1247,151,885,3566,43,76,1512,1518,1388,1580,1524,1479,27.8%,0,-20.6,-33
2013nhma,BAE Systems Granite State Regional,qm,1,46,509,1991,230,3467,2791,131,92,68,1469,1575,1661,1488,1600,1714,36.2%,1,-12.2,24
2013nhma,BAE Systems Granite State Regional,qm,1,47,3360,4546,1519,1058,166,1307,70,16,1511,1455,1689,1480,1518,1439,77.7%,1,27.0,54
2013nhma,BAE Systems Granite State Regional,qm,1,48,238,885,811,3566,175,1973,63,29,1476,1529,1492,1484,1648,1424,41.5%,1,-7.4,34
