Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2012kc,Greater Kansas City Regional,qm,1,1,1985,1939,1984,1806,1997,2972,11,15,1650,1589,1448,1566,1478,1429,77.4%,0,13.2,-4
2012kc,Greater Kansas City Regional,qm,1,2,16,3931,1982,2410,3973,937,24,1,1777,1450,1548,1615,1450,1459,81.0%,1,15.6,23
2012kc,Greater Kansas City Regional,qm,1,3,967,1785,1777,2949,1825,3485,8,9,1628,1459,1471,1610,1501,1450,49.6%,0,-0.2,-1
2012kc,Greater Kansas City Regional,qm,1,4,931,1810,2345,3784,4208,2560,0,4,1608,1573,1563,1492,1450,1432,89.4%,0,23.0,-4
2012kc,Greater Kansas City Regional,qm,1,5,1802,1782,1764,2001,1094,2346,17,6,1473,1441,1495,1410,1536,1454,51.2%,1,0.5,11
2012kc,Greater Kansas City Regional,qm,1,6,1737,1994,2004,1986,1763,935,18,27,1468,1438,1458,1761,1489,1672,3.9%,0,-34.6,-9
2012kc,Greater Kansas City Regional,qm,1,7,2996,1730,2457,1769,2357,2335,33,0,1556,1686,1426,1473,1442,1474,83.3%,1,17.3,33
2012kc,Greater Kansas City Regional,qm,1,8,1208,1448,1987,1652,1108,2164,27,12,1625,1489,1551,1465,1539,1490,72.7%,1,10.5,15
2012kc,Greater Kansas City Regional,qm,1,9,1723,662,1847,2167,2353,3528,0,37,1436,1530,1510,1456,1416,1474,67.9%,0,8.1,-37
2012kc,Greater Kansas City Regional,qm,1,10,2395,3507,1775,1827,3284,3798,17,17,1451,1506,1480,1447,1593,1450,42.3%,0.5,-3.3,0
2012kc,Greater Kansas City Regional,qm,1,11,525,938,935,2874,3764,1802,37,0,1767,1456,1652,1451,1453,1481,94.4%,1,30.3,37
2012kc,Greater Kansas City Regional,qm,1,12,1982,2345,2949,1094,1985,1763,29,19,1554,1542,1611,1528,1637,1469,60.4%,1,4.5,10
2012kc,Greater Kansas City Regional,qm,1,13,2335,1208,1994,2001,967,931,6,17,1462,1628,1458,1402,1627,1587,40.4%,0,-4.2,-11
2012kc,Greater Kansas City Regional,qm,1,14,1723,1782,2164,1652,2457,3931,10,3,1401,1449,1486,1462,1438,1456,47.2%,1,-1.2,7
2012kc,Greater Kansas City Regional,qm,1,15,3528,1984,2972,1448,2004,1764,24,5,1509,1435,1442,1492,1478,1503,37.8%,1,-5.4,19
2012kc,Greater Kansas City Regional,qm,1,16,1827,2996,1806,2874,16,3784,24,36,1445,1569,1579,1446,1783,1512,29.8%,0,-9.2,-12
2012kc,Greater Kansas City Regional,qm,1,17,1986,938,2346,1730,662,3507,23,31,1742,1461,1446,1698,1496,1509,42.4%,0,-3.3,-8
2012kc,Greater Kansas City Regional,qm,1,18,1825,1997,2560,3764,1847,2395,3,6,1502,1492,1453,1448,1475,1454,59.8%,0,4.3,-3
2012kc,Greater Kansas City Regional,qm,1,19,3284,3485,2410,1810,2167,525,12,28,1591,1450,1609,1552,1491,1772,27.9%,0,-10.2,-16
2012kc,Greater Kansas City Regional,qm,1,20,1775,937,1769,1785,1108,2353,3,0,1482,1453,1461,1458,1536,1451,43.0%,1,-3.0,3
2012kc,Greater Kansas City Regional,qm,1,21,4208,3973,3798,2357,1987,1737,9,39,1471,1444,1447,1429,1554,1488,34.8%,0,-6.8,-30
2012kc,Greater Kansas City Regional,qm,1,22,1777,1827,2345,1939,2335,3931,11,18,1470,1443,1546,1576,1457,1449,46.7%,0,-1.4,-7
2012kc,Greater Kansas City Regional,qm,1,23,1806,1763,2395,931,2164,2346,27,12,1577,1465,1459,1592,1493,1443,46.2%,1,-1.6,15
2012kc,Greater Kansas City Regional,qm,1,24,2996,2949,2167,2457,2001,2004,17,0,1566,1615,1495,1432,1407,1459,89.9%,1,23.5,17
2012kc,Greater Kansas City Regional,qm,1,25,3784,938,1448,16,3485,1775,10,31,1515,1458,1473,1785,1446,1487,17.3%,0,-16.9,-21
2012kc,Greater Kansas City Regional,qm,1,26,3528,1785,1987,3284,1994,1730,32,25,1528,1454,1572,1586,1453,1702,25.4%,1,-11.6,7
2012kc,Greater Kansas City Regional,qm,1,27,2353,1737,2560,1939,1764,1652,3,2,1447,1506,1447,1580,1484,1455,33.4%,1,-7.5,1
2012kc,Greater Kansas City Regional,qm,1,28,1108,1825,1985,2410,935,662,27,33,1531,1496,1632,1605,1657,1499,35.9%,0,-6.3,-6
2012kc,Greater Kansas City Regional,qm,1,29,1208,3973,3507,1769,1847,1094,47,20,1623,1426,1512,1466,1481,1524,62.8%,1,5.7,27
2012kc,Greater Kansas City Regional,qm,1,30,1723,2874,2357,1810,1997,1984,13,17,1407,1448,1447,1557,1486,1454,24.7%,0,-12.0,-4
2012kc,Greater Kansas City Regional,qm,1,31,937,1802,2972,967,4208,3764,20,23,1458,1476,1461,1633,1453,1454,30.4%,0,-8.9,-3
2012kc,Greater Kansas City Regional,qm,1,32,1986,525,1777,1982,3798,1782,31,23,1738,1776,1466,1558,1429,1455,95.7%,1,33.3,8
2012kc,Greater Kansas City Regional,qm,1,33,1985,3485,2004,1939,2353,2395,16,8,1633,1449,1464,1573,1453,1472,56.7%,1,2.9,8
2012kc,Greater Kansas City Regional,qm,1,34,3784,1208,2457,3284,1825,1764,24,27,1511,1640,1437,1572,1496,1478,56.0%,0,2.6,-3
