Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2010dc,Washington DC  Regional,qm,1,1,48,2377,701,2537,3340,3246,4,0,1588,1604,1588,1459,1450,1450,91.9%,1,4.6,4
2010dc,Washington DC  Regional,qm,1,2,207,2421,2914,3150,2534,611,1,0,1598,1485,1459,1450,1524,1469,63.9%,1,1.1,1
2010dc,Washington DC  Regional,qm,1,3,2962,768,339,1418,3123,614,4,5,1472,1625,1550,1501,1450,1507,74.9%,0,2.0,-1
2010dc,Washington DC  Regional,qm,1,4,3373,2641,620,2010,116,2121,0,1,1450,1506,1530,1560,1593,1425,37.0%,0,-1.0,-1
2010dc,Washington DC  Regional,qm,1,5,1900,1111,3283,449,623,1915,2,0,1492,1500,1450,1533,1459,1468,47.3%,1,-0.2,2
2010dc,Washington DC  Regional,qm,1,6,1370,2964,1885,2913,1024,3208,3,0,1488,1467,1480,1460,1640,1450,34.1%,1,-1.2,3
2010dc,Washington DC  Regional,qm,1,7,1712,346,1529,1829,612,3298,0,0,1574,1579,1451,1443,1620,1450,62.7%,0.5,1.0,0
2010dc,Washington DC  Regional,qm,1,8,1727,1708,1849,2363,2819,45,0,1,1554,1465,1437,1466,1485,1708,23.8%,0,-2.2,-1
2010dc,Washington DC  Regional,qm,1,9,3279,1446,1123,2963,2911,2900,0,0,1450,1453,1432,1441,1463,1446,47.8%,0.5,-0.2,0
2010dc,Washington DC  Regional,qm,1,10,2068,3154,339,2961,176,2912,4,2,1513,1450,1537,1444,1595,1445,52.1%,1,0.2,2
2010dc,Washington DC  Regional,qm,1,11,1024,2964,48,116,3283,2914,0,0,1621,1486,1586,1593,1460,1459,74.1%,0.5,2.0,0
2010dc,Washington DC  Regional,qm,1,12,3123,2534,207,1529,449,3373,2,0,1464,1524,1598,1446,1523,1450,72.2%,1,1.8,2
2010dc,Washington DC  Regional,qm,1,13,2421,2962,612,3208,620,2363,0,3,1484,1458,1624,1431,1530,1460,69.8%,0,1.6,-3
2010dc,Washington DC  Regional,qm,1,14,1829,1708,2963,3340,2900,623,0,2,1447,1470,1441,1452,1446,1449,51.5%,0,0.1,-2
2010dc,Washington DC  Regional,qm,1,15,2912,2641,1123,768,2537,45,3,1,1437,1506,1433,1612,1461,1702,9.1%,1,-4.3,2
2010dc,Washington DC  Regional,qm,1,16,3150,2377,614,2961,2121,1727,0,3,1450,1602,1520,1436,1425,1559,70.6%,0,1.6,-3
2010dc,Washington DC  Regional,qm,1,17,3298,2819,1849,1885,1915,3246,0,1,1454,1480,1442,1499,1459,1452,45.2%,0,-0.4,-1
2010dc,Washington DC  Regional,qm,1,18,1418,2010,2911,176,701,346,2,0,1515,1560,1462,1587,1585,1575,23.0%,1,-2.3,2
2010dc,Washington DC  Regional,qm,1,19,1712,1370,611,2068,1446,1111,0,2,1569,1507,1469,1521,1454,1510,58.6%,0,0.7,-2
2010dc,Washington DC  Regional,qm,1,20,2913,1900,3123,3279,3154,620,5,2,1441,1502,1464,1451,1458,1550,42.6%,1,-0.6,3
2010dc,Washington DC  Regional,qm,1,21,2914,2964,1123,612,2377,2363,0,5,1468,1478,1461,1604,1581,1481,18.3%,0,-2.8,-5
2010dc,Washington DC  Regional,qm,1,22,1024,3373,623,2819,768,1885,5,1,1613,1449,1459,1477,1584,1502,44.0%,1,-0.5,4
2010dc,Washington DC  Regional,qm,1,23,2641,3246,346,1708,207,339,4,1,1534,1455,1556,1461,1598,1545,41.5%,1,-0.6,3
2010dc,Washington DC  Regional,qm,1,24,3150,2010,2068,3283,3340,1446,2,3,1430,1579,1533,1469,1462,1466,69.8%,0,1.6,-1
2010dc,Washington DC  Regional,qm,1,25,1712,1849,701,2962,1900,48,1,1,1558,1440,1566,1438,1518,1577,54.4%,0.5,0.3,0
2010dc,Washington DC  Regional,qm,1,26,176,116,2534,2912,3298,1370,0,3,1568,1601,1525,1465,1452,1495,83.6%,0,3.1,-3
2010dc,Washington DC  Regional,qm,1,27,2961,1529,1418,2900,3279,2421,0,0,1457,1446,1534,1455,1435,1464,61.6%,0.5,0.9,0
2010dc,Washington DC  Regional,qm,1,28,2963,2913,1915,614,45,611,1,3,1431,1457,1461,1500,1674,1457,16.5%,0,-3.0,-2
2010dc,Washington DC  Regional,qm,1,29,2911,449,3154,3208,1829,1727,1,0,1481,1522,1442,1451,1438,1580,46.7%,1,-0.2,1
2010dc,Washington DC  Regional,qm,1,30,1111,2537,339,2121,2819,3150,4,0,1522,1433,1529,1446,1457,1418,71.7%,1,1.7,4
2010dc,Washington DC  Regional,qm,1,31,3298,2363,1446,1024,1900,2641,2,0,1478,1490,1477,1632,1519,1550,18.7%,1,-2.8,2
2010dc,Washington DC  Regional,qm,1,32,2010,1123,623,207,2912,1849,1,4,1568,1451,1479,1582,1492,1438,47.8%,0,-0.2,-3
2010dc,Washington DC  Regional,qm,1,33,45,701,612,1370,2534,2961,0,0,1670,1565,1614,1522,1498,1453,89.6%,0.5,4.1,0
2010dc,Washington DC  Regional,qm,1,34,449,2913,2377,116,2900,1529,3,2,1528,1462,1591,1574,1459,1442,64.8%,1,1.1,1
2010dc,Washington DC  Regional,qm,1,35,48,768,3279,3208,2068,1708,3,1,1579,1564,1439,1446,1521,1445,72.7%,1,1.8,2
2010dc,Washington DC  Regional,qm,1,36,3246,2421,3283,614,2914,2911,2,0,1471,1468,1480,1495,1458,1486,47.1%,1,-0.2,2
