Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,
2020isde1,ISR District Event #1,qm,1,39,8333,6740,5038,1937,1577,6738,28,104,1441,1495,1533,1549,1684,1506,17.4%,0,-48.6,-76,,,
2020isde1,ISR District Event #1,qm,1,40,5715,4586,5135,5990,3083,1943,93,144,1495,1542,1471,1579,1495,1528,36.9%,0,-16.8,-51,,,
2020isde1,ISR District Event #1,qm,1,41,7112,4590,5554,6230,3211,8223,113,113,1482,1505,1655,1473,1586,1484,63.9%,0.5,17.8,0,,,
2020isde1,ISR District Event #1,qm,1,42,2230,6736,7845,4661,7177,3034,122,27,1588,1504,1564,1439,1555,1518,69.5%,1,25.6,95,,,
2020isde1,ISR District Event #1,qm,1,43,2212,7079,3211,1580,4319,3083,67,47,1607,1524,1590,1483,1442,1504,84.4%,1,52.6,20,,,
2020isde1,ISR District Event #1,qm,1,44,5747,8223,6740,7845,5135,3034,77,57,1524,1489,1487,1582,1462,1500,43.8%,1,-7.8,20,,,
2020isde1,ISR District Event #1,qm,1,45,6738,7177,6230,5038,2096,4586,60,128,1514,1537,1477,1526,1627,1533,28.6%,0,-28.4,-68,,,
2020isde1,ISR District Event #1,qm,1,46,7112,2230,5715,8333,2212,1580,86,27,1477,1607,1485,1433,1599,1491,56.5%,1,8.2,59,,,
2020isde1,ISR District Event #1,qm,1,47,5990,1577,4319,6736,1574,5554,129,79,1588,1692,1450,1523,1677,1650,33.3%,1,-21.6,50,,,
2020isde1,ISR District Event #1,qm,1,48,4590,7554,1937,1943,4661,7079,86,80,1500,1495,1557,1537,1420,1515,61.1%,1,14.1,6,,,
2020isde1,ISR District Event #1,qm,1,49,8223,1580,5135,5038,6230,4319,62,79,1496,1478,1454,1536,1467,1469,43.7%,0,-7.9,-17,,,
2020isde1,ISR District Event #1,qm,1,50,7079,4586,7177,7554,6740,4661,109,40,1518,1544,1526,1493,1495,1423,73.5%,1,31.8,69,,,
2020isde1,ISR District Event #1,qm,1,51,6736,3034,2212,5554,1937,5715,54,116,1503,1492,1585,1631,1554,1499,35.5%,0,-18.6,-62,,,
2020isde1,ISR District Event #1,qm,1,52,5990,5747,2230,8333,1574,7112,84,70,1607,1531,1620,1420,1658,1491,74.9%,1,34.1,14,,,
2020isde1,ISR District Event #1,qm,1,53,6738,7845,1943,4590,3083,1577,23,155,1503,1575,1539,1498,1513,1711,35.4%,0,-18.7,-132,,,
2020isde1,ISR District Event #1,qm,1,54,2096,2212,1574,3211,4586,5990,136,132,1638,1573,1663,1582,1554,1602,68.9%,1,24.7,4,,,
