Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2005ga,Peachtree Regional,qm,1,1,1611,1007,1057,1261,1415,1398,0,12,1450,1453,1562,1444,1442,1441,68.9%,0,8.6,-12
2005ga,Peachtree Regional,qm,1,2,1319,519,1648,34,1304,1588,32,15,1535,1450,1450,1567,1446,1450,45.9%,1,-1.8,17
2005ga,Peachtree Regional,qm,1,3,1683,1180,462,1414,1167,1376,9,39,1450,1477,1518,1433,1424,1432,71.0%,0,9.6,-30
2005ga,Peachtree Regional,qm,1,4,538,1589,1029,1550,1183,1379,0,28,1531,1450,1458,1450,1463,1462,59.2%,0,4.0,-28
2005ga,Peachtree Regional,qm,1,5,1040,1612,281,1534,1336,1127,9,18,1440,1450,1602,1450,1434,1440,72.4%,0,10.4,-9
2005ga,Peachtree Regional,qm,1,6,1311,1436,1407,1139,1371,590,13,7,1476,1429,1428,1418,1477,1460,46.8%,1,-1.4,6
2005ga,Peachtree Regional,qm,1,7,801,1440,1345,1390,1539,832,25,29,1420,1424,1501,1440,1450,1411,56.4%,0,2.8,-4
2005ga,Peachtree Regional,qm,1,8,1102,1284,1002,1597,1553,1263,7,4,1480,1415,1545,1450,1450,1432,65.0%,1,6.7,3
2005ga,Peachtree Regional,qm,1,9,1611,1319,1414,1550,281,590,26,2,1434,1549,1464,1475,1587,1454,40.2%,1,-4.3,24
2005ga,Peachtree Regional,qm,1,10,801,1007,1648,1376,538,1534,9,53,1415,1437,1465,1463,1506,1465,33.8%,0,-7.2,-44
2005ga,Peachtree Regional,qm,1,11,1284,1407,1390,1398,1304,1683,6,0,1412,1434,1445,1457,1432,1419,47.5%,1,-1.1,6
2005ga,Peachtree Regional,qm,1,12,1002,1379,1612,1436,1440,1415,4,2,1543,1486,1435,1435,1419,1457,70.6%,1,9.4,2
2005ga,Peachtree Regional,qm,1,13,1102,519,462,1029,1127,1371,25,21,1477,1464,1487,1433,1455,1471,59.7%,1,4.2,4
2005ga,Peachtree Regional,qm,1,14,1345,1553,1057,34,1180,1589,29,10,1495,1453,1546,1553,1446,1425,60.0%,1,4.4,19
2005ga,Peachtree Regional,qm,1,15,1040,1311,1539,1597,1261,1588,22,20,1425,1481,1455,1453,1460,1435,52.0%,1,0.9,2
2005ga,Peachtree Regional,qm,1,16,1167,1183,1336,1139,832,1263,31,12,1455,1487,1449,1412,1416,1435,67.7%,1,8.0,19
2005ga,Peachtree Regional,qm,1,17,1414,1007,1407,1379,1102,34,22,0,1485,1409,1439,1481,1477,1541,27.9%,1,-10.2,22
2005ga,Peachtree Regional,qm,1,18,1040,801,1611,1284,1436,1029,9,21,1426,1387,1456,1417,1441,1433,46.7%,0,-1.4,-12
2005ga,Peachtree Regional,qm,1,19,1336,1345,1588,1376,590,1398,3,20,1458,1507,1435,1491,1433,1452,53.4%,0,1.5,-17
2005ga,Peachtree Regional,qm,1,20,1167,1440,1127,1589,1597,1319,16,9,1464,1425,1455,1414,1452,1571,36.9%,1,-5.8,7
2005ga,Peachtree Regional,qm,1,21,832,1534,1304,1002,1371,1057,19,25,1407,1493,1426,1537,1472,1557,20.2%,0,-14.8,-6
2005ga,Peachtree Regional,qm,1,22,1183,1683,1311,281,1648,1415,32,13,1496,1414,1482,1565,1436,1463,39.7%,1,-4.5,19
2005ga,Peachtree Regional,qm,1,23,462,1553,1539,1550,1139,1612,8,9,1487,1464,1456,1453,1404,1429,66.8%,0,7.5,-1
2005ga,Peachtree Regional,qm,1,24,538,1390,519,1180,1261,1263,51,12,1535,1451,1464,1435,1459,1427,67.7%,1,8.0,39
2005ga,Peachtree Regional,qm,1,25,34,1029,1336,1597,1415,1414,4,12,1516,1442,1443,1442,1445,1510,50.5%,0,0.2,-8
2005ga,Peachtree Regional,qm,1,26,801,1304,1139,1127,1379,590,18,26,1378,1433,1410,1465,1456,1447,30.1%,0,-9.1,-8
2005ga,Peachtree Regional,qm,1,27,1390,1057,1376,1311,1612,1102,20,1,1475,1550,1505,1500,1436,1452,69.4%,1,8.8,19
2005ga,Peachtree Regional,qm,1,28,1180,1611,832,1648,1407,1589,4,9,1411,1448,1414,1418,1464,1404,48.1%,0,-0.8,-5
2005ga,Peachtree Regional,qm,1,29,1539,1263,1398,1319,1534,1436,20,23,1450,1403,1466,1561,1500,1449,24.8%,0,-11.9,-3
2005ga,Peachtree Regional,qm,1,30,462,1183,1261,1284,1345,1002,10,8,1480,1514,1435,1426,1492,1530,47.3%,1,-1.2,2
2005ga,Peachtree Regional,qm,1,31,281,519,1167,1007,1553,1040,16,45,1547,1488,1474,1434,1458,1418,75.9%,0,12.3,-29
2005ga,Peachtree Regional,qm,1,32,1550,1588,1440,1371,1683,538,9,6,1459,1420,1435,1465,1432,1559,30.8%,1,-8.7,3
2005ga,Peachtree Regional,qm,1,33,1414,1139,1589,1284,1534,1415,23,9,1517,1411,1407,1423,1493,1451,45.3%,1,-2.0,14
2005ga,Peachtree Regional,qm,1,34,1040,1390,590,1648,462,1057,44,21,1450,1482,1446,1421,1483,1558,38.2%,1,-5.2,23
2005ga,Peachtree Regional,qm,1,35,538,1597,832,1398,1612,519,0,21,1549,1448,1411,1473,1428,1456,57.4%,0,3.2,-21
2005ga,Peachtree Regional,qm,1,36,1379,1588,1167,1611,1102,1345,59,1,1455,1429,1442,1445,1444,1490,42.5%,1,-3.3,58
2005ga,Peachtree Regional,qm,1,37,1436,1683,34,1127,1261,1550,26,20,1442,1423,1510,1465,1437,1469,50.7%,1,0.3,6
2005ga,Peachtree Regional,qm,1,38,1263,801,1311,1002,281,1407,19,31,1409,1379,1493,1527,1515,1467,21.1%,0,-14.2,-12
2005ga,Peachtree Regional,qm,1,39,1029,1376,1539,1304,1553,1440,25,25,1435,1513,1456,1434,1490,1444,55.4%,0.5,2.4,0
2005ga,Peachtree Regional,qm,1,40,1336,1180,1319,1007,1371,1183,0,29,1437,1407,1554,1466,1456,1516,44.4%,0,-2.4,-29
2005ga,Peachtree Regional,qm,1,41,1414,538,1311,1345,1127,1002,7,48,1529,1531,1494,1443,1460,1526,67.3%,0,7.8,-41
2005ga,Peachtree Regional,qm,1,42,1539,1057,1683,1379,519,1284,3,33,1455,1536,1427,1502,1475,1411,54.4%,0,1.9,-30
2005ga,Peachtree Regional,qm,1,43,1336,1589,1436,1304,462,281,20,13,1417,1420,1446,1436,1461,1513,32.5%,1,-7.9,7
2005ga,Peachtree Regional,qm,1,44,1139,1007,1597,1390,1611,1588,30,11,1424,1486,1430,1504,1397,1477,44.5%,1,-2.4,19
2005ga,Peachtree Regional,qm,1,45,1648,1263,1029,1612,1371,1167,26,53,1399,1411,1433,1447,1476,1489,27.5%,0,-10.4,-27
2005ga,Peachtree Regional,qm,1,46,1398,34,801,1183,1440,1040,9,35,1492,1514,1381,1537,1446,1472,40.4%,0,-4.2,-26
2005ga,Peachtree Regional,qm,1,47,1180,1534,590,1102,1550,1415,9,18,1387,1481,1468,1397,1464,1439,55.2%,0,2.2,-9
2005ga,Peachtree Regional,qm,1,48,832,1553,1261,1319,1407,1376,19,40,1392,1491,1433,1534,1466,1511,24.6%,0,-12.1,-21
2005ga,Peachtree Regional,qm,1,49,1002,1588,1589,1539,1007,1683,13,1,1564,1460,1431,1430,1503,1403,66.5%,1,7.4,12
2005ga,Peachtree Regional,qm,1,50,281,538,1102,1139,34,1057,10,51,1502,1493,1405,1440,1497,1512,42.9%,0,-3.1,-41
2005ga,Peachtree Regional,qm,1,51,801,1415,1167,1407,1550,519,3,12,1364,1448,1502,1473,1473,1499,31.9%,0,-8.2,-9
2005ga,Peachtree Regional,qm,1,52,1336,1553,1390,1379,1371,1398,13,10,1428,1484,1488,1527,1489,1475,37.2%,1,-5.6,3
2005ga,Peachtree Regional,qm,1,53,1319,462,1311,1029,1534,832,32,0,1541,1449,1456,1421,1472,1385,72.5%,1,10.5,32
2005ga,Peachtree Regional,qm,1,54,1040,1345,1263,1304,1414,1612,0,20,1489,1480,1398,1424,1491,1460,48.9%,0,-0.5,-20
2005ga,Peachtree Regional,qm,1,55,1261,590,1440,1284,1648,1180,39,19,1426,1459,1462,1435,1386,1378,70.0%,1,9.1,20
2005ga,Peachtree Regional,qm,1,56,1127,1611,1183,1376,1436,1597,10,51,1498,1381,1554,1518,1458,1446,51.4%,0,0.6,-41
2005ga,Peachtree Regional,qm,1,57,1588,281,832,1415,1263,1379,3,6,1464,1472,1369,1447,1383,1520,43.4%,0,-2.8,-3
2005ga,Peachtree Regional,qm,1,58,1180,1539,34,1002,1167,1390,20,39,1370,1426,1527,1567,1501,1494,20.1%,0,-14.9,-19
2005ga,Peachtree Regional,qm,1,59,590,1029,1683,1597,1345,1407,20,13,1468,1404,1399,1478,1465,1473,30.1%,1,-9.1,7
2005ga,Peachtree Regional,qm,1,60,1336,538,1611,1553,1311,1284,10,25,1435,1464,1348,1491,1473,1427,30.3%,0,-9.0,-15
2005ga,Peachtree Regional,qm,1,61,1040,1319,1102,1139,1440,1376,0,59,1474,1557,1376,1470,1471,1551,38.1%,0,-5.2,-59
2005ga,Peachtree Regional,qm,1,62,1127,1648,1398,1550,1007,462,38,5,1466,1378,1468,1473,1499,1466,32.5%,1,-7.9,33
2005ga,Peachtree Regional,qm,1,63,1304,1183,1534,519,1414,1261,12,15,1439,1522,1456,1500,1507,1434,46.5%,0,-1.5,-3
2005ga,Peachtree Regional,qm,1,64,1436,1057,801,1371,1589,1612,0,51,1490,1541,1363,1482,1435,1475,50.4%,0,0.2,-51
2005ga,Peachtree Regional,qm,1,65,1588,1180,1127,1407,1284,281,35,2,1464,1367,1497,1461,1432,1472,44.7%,1,-2.3,33
2005ga,Peachtree Regional,qm,1,66,1539,1414,1648,1102,1336,832,32,10,1423,1508,1410,1334,1430,1368,76.8%,1,12.9,22
2005ga,Peachtree Regional,qm,1,67,1436,519,1345,1007,1440,1311,0,37,1451,1501,1453,1468,1512,1478,42.4%,0,-3.3,-37
2005ga,Peachtree Regional,qm,1,68,1057,1550,1263,1597,1376,1304,0,0,1501,1442,1383,1466,1592,1438,27.4%,0.5,-10.5,0
2005ga,Peachtree Regional,qm,1,69,1029,1139,1398,1002,1261,1167,26,27,1416,1511,1500,1570,1435,1504,38.3%,0,-5.1,-1
2005ga,Peachtree Regional,qm,1,70,1040,1415,1371,538,1319,1390,4,10,1432,1447,1522,1459,1516,1498,39.9%,0,-4.4,-6
2005ga,Peachtree Regional,qm,1,71,1589,590,1183,1553,1612,34,51,0,1474,1480,1521,1496,1514,1524,41.6%,1,-3.6,51
2005ga,Peachtree Regional,qm,1,72,1379,462,801,1683,1611,1534,31,18,1520,1435,1324,1412,1344,1454,59.8%,1,4.3,13
2005ga,Peachtree Regional,qf,1,1,801,281,1261,1683,1127,538,0,44,1330,1445,1432,1405,1525,1460,26.0%,0,-11.3,-44
2005ga,Peachtree Regional,qf,1,2,801,281,1261,1683,1127,538,12,57,1324,1438,1426,1411,1531,1466,22.0%,0,-13.6,-45
2005ga,Peachtree Regional,qf,2,1,1611,1345,1553,1263,34,1057,0,21,1337,1427,1454,1391,1481,1510,27.9%,0,-10.2,-21
2005ga,Peachtree Regional,qf,2,2,1611,1345,1553,1263,34,1057,25,26,1335,1425,1451,1394,1483,1512,26.4%,0,-11.0,-1
2005ga,Peachtree Regional,qf,3,1,832,1648,1102,1534,1139,1002,26,37,1361,1417,1327,1448,1514,1567,8.0%,0,-26.3,-11
2005ga,Peachtree Regional,qf,3,2,832,1648,1102,1534,1139,1002,7,33,1364,1420,1330,1445,1511,1564,8.8%,0,-25.2,-26
2005ga,Peachtree Regional,qf,4,1,1180,1029,462,1304,1539,1319,30,25,1394,1420,1441,1430,1430,1517,33.1%,1,-7.6,5
2005ga,Peachtree Regional,qf,4,2,1180,1029,462,1304,1539,1319,22,38,1396,1422,1444,1427,1428,1515,35.0%,0,-6.7,-16
2005ga,Peachtree Regional,qf,4,3,1180,1029,462,1304,1539,1319,34,9,1395,1420,1442,1429,1430,1516,33.6%,1,-7.3,25
2005ga,Peachtree Regional,sf,1,1,1611,1345,1553,801,281,1261,42,29,1337,1427,1453,1318,1432,1420,56.6%,1,2.9,13
2005ga,Peachtree Regional,sf,1,2,1611,1345,1553,801,281,1261,81,14,1339,1428,1455,1316,1430,1418,58.3%,1,3.6,67
2005ga,Peachtree Regional,sf,2,1,1304,1539,1319,832,1648,1102,41,14,1423,1423,1510,1364,1420,1330,80.2%,1,15.0,27
2005ga,Peachtree Regional,sf,2,2,1304,1539,1319,832,1648,1102,45,10,1425,1426,1512,1362,1417,1328,81.4%,1,15.9,35
2005ga,Peachtree Regional,f,1,1,801,281,1261,801,281,1261,27,31,1304,1418,1406,1304,1418,1406,50.0%,0,0.0,-4
2005ct,UTC New England Regional,qm,1,1,521,1665,1100,1124,228,236,27,28,1473,1450,1462,1477,1497,1601,25.1%,0,-11.8,-1
2005ct,UTC New England Regional,qm,1,2,296,181,999,178,1099,1524,3,8,1535,1522,1404,1482,1482,1450,56.7%,0,2.9,-5
2005ct,UTC New England Regional,qm,1,3,177,126,1373,230,546,1568,14,0,1540,1622,1410,1498,1505,1450,66.4%,1,7.3,14
2005ct,UTC New England Regional,qm,1,4,558,19,716,1493,1071,839,5,15,1368,1435,1640,1448,1459,1501,55.0%,0,2.2,-10
2005ct,UTC New England Regional,qm,1,5,195,20,173,1685,176,271,75,2,1545,1500,1583,1450,1602,1547,54.2%,1,1.8,73
2005ct,UTC New England Regional,qm,1,6,157,905,571,809,69,1665,4,26,1553,1417,1611,1481,1662,1458,47.1%,0,-1.3,-22
2005ct,UTC New England Regional,qm,1,7,296,230,839,1100,1524,1568,0,9,1528,1493,1510,1470,1456,1445,71.6%,0,9.9,-9
2005ct,UTC New England Regional,qm,1,8,1685,716,1124,999,177,176,27,15,1395,1631,1469,1398,1545,1547,50.7%,1,0.3,12
2005ct,UTC New England Regional,qm,1,9,905,1493,195,228,181,546,17,39,1401,1457,1600,1488,1516,1499,43.5%,0,-2.8,-22
2005ct,UTC New England Regional,qm,1,10,809,558,20,236,178,126,46,28,1497,1358,1555,1593,1488,1627,15.3%,1,-18.4,18
2005ct,UTC New England Regional,qm,1,11,69,1071,271,521,1099,1373,80,0,1678,1469,1492,1481,1488,1415,81.2%,1,15.7,80
2005ct,UTC New England Regional,qm,1,12,157,19,173,571,1568,999,49,0,1537,1425,1638,1595,1460,1389,71.3%,1,9.8,49
2005ct,UTC New England Regional,qm,1,13,176,1524,1665,1493,126,228,12,38,1538,1471,1474,1442,1599,1503,41.3%,0,-3.8,-26
2005ct,UTC New England Regional,qm,1,14,69,558,1685,1100,546,1099,38,25,1728,1386,1404,1485,1514,1438,61.4%,1,5.0,13
2005ct,UTC New England Regional,qm,1,15,571,20,1071,230,1124,181,24,12,1564,1583,1518,1479,1478,1531,73.6%,1,11.1,12
2005ct,UTC New England Regional,qm,1,16,809,271,19,296,177,195,24,44,1525,1541,1456,1514,1536,1585,34.3%,0,-7.0,-20
2005ct,UTC New England Regional,qm,1,17,236,157,839,1373,716,905,3,22,1565,1567,1495,1365,1640,1387,79.5%,0,14.6,-19
2005ct,UTC New England Regional,qm,1,18,178,521,173,1493,230,1685,10,0,1459,1432,1669,1459,1478,1410,77.2%,1,13.2,10
2005ct,UTC New England Regional,qm,1,19,1665,1099,195,1568,558,1124,21,43,1457,1432,1595,1429,1393,1477,74.5%,0,11.5,-22
2005ct,UTC New England Regional,qm,1,20,157,296,126,1071,176,546,38,20,1541,1524,1616,1519,1521,1508,68.3%,1,8.3,18
2005ct,UTC New England Regional,qm,1,21,839,809,999,521,20,228,9,47,1469,1515,1358,1429,1584,1520,25.0%,0,-11.8,-38
2005ct,UTC New England Regional,qm,1,22,905,271,178,1100,571,716,22,0,1413,1531,1457,1479,1565,1666,14.5%,1,-19.1,22
2005ct,UTC New England Regional,qm,1,23,1373,19,1524,69,181,236,17,46,1391,1446,1454,1734,1530,1538,5.0%,0,-31.8,-29
2005ct,UTC New England Regional,qm,1,24,177,173,228,1099,157,230,41,37,1546,1666,1541,1406,1549,1480,86.2%,1,19.7,4
2005ct,UTC New England Regional,qm,1,25,716,126,195,521,571,296,32,0,1634,1623,1569,1449,1533,1531,85.8%,1,19.4,32
2005ct,UTC New England Regional,qm,1,26,1685,1373,809,181,1665,839,30,30,1413,1393,1495,1528,1431,1449,35.0%,0.5,-6.7,0
2005ct,UTC New England Regional,qm,1,27,558,176,905,19,178,1124,11,25,1418,1513,1444,1448,1489,1503,41.0%,0,-3.9,-14
2005ct,UTC New England Regional,qm,1,28,1568,271,1493,236,999,546,0,70,1455,1563,1462,1536,1338,1501,64.7%,0,6.5,-70
2005ct,UTC New England Regional,qm,1,29,69,20,177,1100,1071,1524,47,25,1732,1604,1534,1447,1511,1456,93.2%,1,28.3,22
2005ct,UTC New England Regional,qm,1,30,173,1373,558,296,228,571,8,0,1654,1399,1411,1522,1528,1523,34.7%,1,-6.8,8
